protocol_type,duration,src_bytes,dst_bytes,num_packets,num_connections,attack_type
1,43.41865111,1701.411601,201.7947412,42,15,Botnet
1,8.587923739,409.9714027,710.7453762,17,6,Normal
1,4.386890888,418.4786927,559.4578156,17,5,Normal
0,,,,11,3,Normal
0,1.06189164,494.2536992,572.4596136,11,3,Normal
0,30.71880752,1471.68691,15.38358329,40,19,Botnet
0,3.671551128,419.2932968,1014.522043,19,5,Normal
1,5.436682023,646.6849112,803.9647877,17,4,Normal
2,29.78224369,1589.541384,188.8350461,52,23,Botnet
0,1.617045394,596.6238275,820.5249941,11,0,Normal
0,4.982009339,769.9034099,148.9677014,11,4,Normal
0,530.5459649,4410.893183,91.93756496,495,315,DDoS
0,6.814416274,589.4508528,872.5113349,16,5,Normal
0,5.903018612,98.35759596,233.5523375,18,3,Normal
0,,,,10,5,Normal
0,22.29650535,1196.58505,113.7790757,51,21,Botnet
0,5.26291792,356.3612512,959.0163887,14,0,Normal
1,81.52213144,332.6780777,3667.577783,102,19,Phishing
0,976.3124111,5308.907698,91.52135969,517,308,DDoS
0,103.6168103,159.5168387,3461.204341,205,173,PortScan
1,52.80303355,248.5155307,4001.599956,92,6,Phishing
0,8.19351655,524.7953843,562.5075911,13,3,Normal
2,3.079346428,531.5543107,697.5659597,24,4,Normal
0,69.61224323,61.35216852,3246.242974,120,9,Phishing
1,3.594576647,566.9526648,992.46899,14,4,Normal
0,64.62498522,57.6795497,3250.585025,105,11,Phishing
0,3.43534443,771.0407503,887.6986311,13,4,Normal
0,106.1232005,16.30618529,5971.621577,207,161,PortScan
0,12.80864438,1463.673378,152.3638104,47,16,Botnet
0,,,,207,156,PortScan
1,3.400299919,535.1340271,427.5639768,14,2,Normal
0,,,,13,2,Normal
1,9.69688009,459.1599648,750.5351658,14,3,Normal
1,,,,15,3,Normal
0,109.676521,81.69121335,5360.591576,210,144,PortScan
1,,,,12,1,Normal
1,8.480514274,262.7702783,969.7958263,18,2,Normal
0,5.461512206,580.1389072,339.6068429,11,4,Normal
1,4.839660875,852.4220906,18.67023152,22,3,Normal
0,,,,51,25,Botnet
0,6.696919548,751.9281032,481.5127126,16,1,Normal
1,3.023338888,854.5000995,368.4764473,18,5,Normal
0,166.8437714,5.62557492,4226.039423,216,126,PortScan
0,6.009025653,990.7341407,775.4108461,12,1,Normal
1,60.63331712,141.2504875,3634.393349,96,11,Phishing
0,3.116037554,837.6241082,73.35579565,12,3,Normal
0,5.65483228,532.4550682,302.7404689,11,5,Normal
1,9.508117107,375.3631379,887.4705086,17,1,Normal
0,6.892746682,280.728113,574.5079916,15,3,Normal
2,2.211937726,839.9432413,892.4074215,9,3,Normal
0,5.488598388,35.69560086,1028.061772,22,4,Normal
0,88.68609513,16.09152837,4564.233237,202,156,PortScan
1,3.755293079,275.8312792,276.8916569,13,2,Normal
0,70.5768496,76.74787225,3851.788673,200,139,PortScan
1,7.435860494,536.2981867,648.9504638,18,4,Normal
1,1090.393403,5810.690533,150.7209711,508,315,DDoS
0,5.430561097,109.015919,382.163618,14,2,Normal
1,79.92578376,274.697439,3095.092628,95,13,Phishing
0,5.064621745,451.8516571,205.2709525,15,4,Normal
0,6.380084283,560.7394155,1156.506467,18,4,Normal
0,8.278776018,708.8238278,7.902835819,21,2,Normal
1,417.4031057,6376.721422,141.3106028,504,266,DDoS
1,28.95679075,1943.949157,255.8353641,47,14,Botnet
1,5.436471176,390.5758668,375.916929,10,4,Normal
1,6.493872637,521.4642418,426.2998365,21,5,Normal
0,113.8433291,202.7613079,5219.265607,217,143,PortScan
0,2.061036357,588.7901787,744.8416006,18,2,Normal
0,59.33557934,178.0550723,2894.902859,83,8,Phishing
1,48.49134799,2177.354712,192.8849641,46,16,Botnet
0,3.383629831,442.3619724,426.7963642,16,2,Normal
2,6.248963676,521.1214199,78.92691682,22,0,Normal
2,3.572266308,573.9851566,784.8582472,13,3,Normal
0,4.888036652,862.4413407,301.7614329,14,1,Normal
0,8.326498231,418.3162533,73.85347725,20,3,Normal
2,2.586549626,577.7339129,623.8583943,15,1,Normal
0,171.6813515,67.83781114,6195.097895,210,150,PortScan
2,,,,17,1,Normal
0,28.98597161,1664.426189,187.0049234,61,20,Botnet
0,125.2384001,125.6875353,5297.748558,194,172,PortScan
2,3.724837077,242.1336625,453.2825905,15,2,Normal
0,,,,96,12,Phishing
0,2.908317066,780.8242564,893.1593481,17,1,Normal
0,2.286924565,608.6276767,606.6621061,13,4,Normal
0,3.475069232,581.7729724,780.6879704,10,1,Normal
0,6.499749795,284.9350454,1265.392987,19,4,Normal
0,5.329324508,503.0863576,782.2264744,19,2,Normal
0,1.170017267,445.7444031,698.677146,17,2,Normal
2,6.173053148,469.2525249,2.242427587,15,3,Normal
2,,,,83,8,Phishing
0,371.3019082,5545.402703,28.12076379,520,286,DDoS
0,726.1214451,5213.467514,25.8442307,501,318,DDoS
0,677.5715496,5745.477897,100.9589695,442,292,DDoS
1,,,,95,9,Phishing
1,2.308047091,861.389484,246.9199252,12,3,Normal
0,8.28849501,725.5349065,484.3777755,16,5,Normal
0,7.326043032,691.2964268,232.7991409,10,2,Normal
0,,,,117,7,Phishing
0,220.0287822,5633.041197,108.161268,505,297,DDoS
0,386.0181627,4315.479656,85.13493249,520,298,DDoS
0,598.9676568,5757.398875,165.3704463,479,272,DDoS
0,3.909306156,302.4725569,403.8310316,11,1,Normal
1,,,,16,1,Normal
0,1.952589889,639.6219691,201.4510438,20,6,Normal
0,123.1254505,48.28721196,5346.074248,192,152,PortScan
1,27.02985456,2399.500586,352.3533403,43,21,Botnet
2,3.275887832,555.8064243,568.3959275,8,4,Normal
0,,,,10,2,Normal
0,,,,560,321,DDoS
2,,,,89,6,Phishing
1,1.949142654,626.0442951,864.9633466,19,1,Normal
0,3.776996732,427.1986117,253.5159959,14,2,Normal
0,31.76108267,1416.591386,265.7962391,45,22,Botnet
0,3.992211675,140.1316003,524.3187131,12,3,Normal
1,0.804529644,60.50698711,1233.69476,9,4,Normal
1,157.4836952,95.1985507,5375.344344,219,140,PortScan
0,6.790833558,326.1519897,491.7461472,18,6,Normal
0,471.7442182,5317.770245,96.05684696,507,296,DDoS
0,3.424023675,423.5972772,895.9004424,16,2,Normal
2,7.133551725,464.0253867,976.7417505,21,4,Normal
1,,,,13,4,Normal
0,619.5152744,4997.835947,131.1753463,508,305,DDoS
0,5.311061978,723.3164738,360.1411834,20,5,Normal
0,901.01263,4751.431457,78.68820529,474,312,DDoS
1,3.697355347,730.5791121,972.4660971,12,9,Normal
0,3.263541097,584.7436623,209.9090124,15,2,Normal
1,3.430984751,546.3911177,397.644496,16,6,Normal
0,7.98063266,635.2325045,1107.45309,11,3,Normal
0,5.186226093,348.5379446,670.5810157,16,3,Normal
1,80.09083405,185.7049212,3437.226615,102,13,Phishing
0,5.903018756,797.8017963,869.2638884,18,3,Normal
0,34.12447815,2168.28833,130.3115007,54,15,Botnet
0,2.240105068,526.058886,110.1893546,14,1,Normal
1,6.841571954,461.243235,466.1079045,11,4,Normal
0,4.21196599,287.0044209,751.3356847,20,3,Normal
0,96.91541914,239.7894479,5145.946343,202,167,PortScan
0,34.06679498,183.3955994,3248.321218,91,6,Phishing
0,6.745466079,376.0534613,1012.404569,13,1,Normal
0,18.96025274,1383.852542,83.59204855,37,20,Botnet
2,3.728623541,829.4665168,313.2801627,22,2,Normal
0,140.7224333,140.184677,4700.352274,217,145,PortScan
0,9.665650475,602.8821638,717.0644533,11,2,Normal
1,241.3849679,5276.542663,246.5853447,465,303,DDoS
2,45.82770578,1657.433198,32.49023727,52,10,Botnet
2,7.325043001,666.5440569,602.6157174,14,2,Normal
0,526.4080982,4500.77005,41.83153342,534,299,DDoS
2,8.731420974,1369.894372,290.7487611,48,26,Botnet
0,0.864626333,712.0017092,860.067566,10,2,Normal
0,6.901342486,414.2189588,978.4742645,21,2,Normal
0,6.564507467,629.5836228,685.3729409,9,3,Normal
0,6.27942664,238.4991114,1052.020854,19,6,Normal
0,34.71175335,1478.770553,132.3717449,56,16,Botnet
0,32.70461069,2432.423078,236.5341893,51,15,Botnet
1,3.576312451,414.8106234,354.8189001,15,1,Normal
0,133.3609006,168.4627448,4851.512313,181,171,PortScan
0,3.923350509,493.0450453,636.6435799,16,7,Normal
2,24.50655438,562.2037543,70.72846282,45,20,Botnet
1,5.381173552,620.9403772,786.2204759,14,4,Normal
0,4.561928927,925.6560256,432.8027522,12,1,Normal
2,6.071990711,154.2329024,399.4047644,18,5,Normal
2,4.577993635,372.1606853,240.423701,14,4,Normal
0,5.859693966,610.9042015,993.7427739,17,4,Normal
0,6.498819114,736.1951635,592.1016895,25,1,Normal
0,602.7671038,4355.853646,10.42925196,495,289,DDoS
1,5.672185932,494.7744505,324.6164403,16,5,Normal
0,7.60425937,705.0012891,1012.096199,28,5,Normal
0,7.137987196,368.7243638,619.1921253,20,1,Normal
0,51.62696663,131.979187,2643.096457,134,10,Phishing
0,108.444241,152.5843425,5231.742823,180,143,PortScan
0,99.03035873,172.0626221,3156.1355,195,136,PortScan
2,4.941170193,315.10831,804.0964015,9,1,Normal
0,2.282679422,365.0797245,1064.027237,11,1,Normal
1,63.52125269,229.2413963,2393.984855,101,9,Phishing
0,500.4101303,5361.866774,105.1376835,514,304,DDoS
0,38.20897649,1491.587516,153.3071724,49,20,Botnet
0,2.394050759,486.8016215,763.4400422,17,1,Normal
1,10.66449663,427.0658111,737.0381959,12,5,Normal
1,9.795398614,658.668357,634.6327655,14,3,Normal
1,132.2741196,119.5936897,4375.398966,192,146,PortScan
1,3.291718135,283.3967506,456.108053,14,7,Normal
0,7.116249611,479.4351,557.0917031,18,1,Normal
0,96.84136713,49.73991104,6767.25349,201,148,PortScan
